dataset,model,desc_framework,query_idx,golden_answer_norm,majority_vanilla,majority_first,majority_rand,majority_weighted
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,33,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,34,2,2,2,2,2
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,35,4,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,36,4,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,37,4,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,38,4,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,39,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,40,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,41,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,42,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,43,3,3,3,3,3
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,44,1,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,45,1,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,46,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,47,1,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,48,4,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,49,1,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,50,4,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,51,1,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,52,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,53,1,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,54,1,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,55,4,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,56,3,3,3,3,3
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,57,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,58,3,3,3,3,3
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,59,2,2,2,2,2
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,60,2,2,2,2,2
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,61,3,3,3,3,3
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,62,2,2,2,2,2
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,63,4,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,64,2,2,2,2,2
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,65,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,66,1,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,67,4,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,68,3,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,69,1,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,70,3,3,3,3,3
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,71,2,2,2,2,2
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,72,1,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,73,4,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,74,2,2,2,2,2
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,75,4,2,2,2,2
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,76,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,77,1,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,78,3,3,3,3,3
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,79,4,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,80,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,81,3,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,82,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,83,3,3,3,3,3
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,84,4,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,85,4,2,2,2,2
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,86,1,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,87,3,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,88,3,3,3,3,3
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,89,1,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,90,1,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,91,2,2,2,2,2
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,92,3,3,3,3,3
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,93,1,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,94,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,95,1,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,96,2,2,2,2,2
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,97,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,98,1,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Big Five Personality Traits,99,1,2,2,2,2
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,0,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,1,1,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,2,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,3,2,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,4,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,5,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,6,2,2,2,2,2
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,7,0,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,8,2,2,2,2,2
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,9,2,2,2,2,2
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,10,3,3,3,3,3
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,11,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,12,4,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,13,4,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,14,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,15,4,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,16,4,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,17,3,3,3,3,3
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,18,3,3,3,3,3
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,19,1,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,20,2,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,21,1,2,2,2,2
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,22,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,23,4,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,24,3,3,3,3,3
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,25,3,3,3,3,3
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,26,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,27,2,2,2,2,2
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,28,4,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,29,1,2,2,2,2
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,30,3,3,3,3,3
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,31,1,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,32,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,33,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,34,2,2,2,2,2
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,35,4,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,36,4,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,37,4,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,38,4,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,39,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,40,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,41,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,42,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,43,3,3,3,3,3
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,44,1,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,45,1,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,46,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,47,1,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,48,4,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,49,1,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,50,4,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,51,1,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,52,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,53,1,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,54,1,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,55,4,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,56,3,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,57,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,58,3,3,3,3,3
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,59,2,2,2,2,2
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,60,2,2,2,2,2
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,61,3,3,3,3,3
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,62,2,2,2,2,2
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,63,4,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,64,2,2,2,2,2
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,65,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,66,1,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,67,4,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,68,3,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,69,1,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,70,3,3,3,3,3
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,71,2,2,2,2,2
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,72,1,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,73,4,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,74,2,2,2,2,2
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,75,4,2,2,2,2
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,76,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,77,1,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,78,3,3,3,3,3
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,79,4,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,80,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,81,3,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,82,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,83,3,3,3,3,3
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,84,4,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,85,4,2,2,2,2
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,86,1,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,87,3,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,88,3,3,3,3,3
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,89,1,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,90,1,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,91,2,2,2,2,2
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,92,3,3,3,3,3
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,93,1,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,94,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,95,1,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,96,2,2,2,2,2
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,97,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,98,1,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Cognitive Behavioral Theory,99,1,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,0,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,1,1,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,2,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,3,2,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,4,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,5,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,6,2,2,2,2,2
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,7,0,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,8,2,2,2,2,2
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,9,2,2,2,2,2
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,10,3,3,3,3,3
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,11,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,12,4,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,13,4,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,14,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,15,4,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,16,4,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,17,3,3,3,3,3
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,18,3,3,3,3,3
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,19,1,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,20,2,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,21,1,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,22,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,23,4,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,24,3,3,3,3,3
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,25,3,3,3,3,3
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,26,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,27,2,2,2,2,2
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,28,4,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,29,1,2,2,2,2
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,30,3,3,3,3,3
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,31,1,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,32,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,33,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,34,2,2,2,2,2
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,35,4,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,36,4,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,37,4,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,38,4,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,39,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,40,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,41,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,42,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,43,3,3,3,3,3
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,44,1,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,45,1,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,46,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,47,1,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,48,4,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,49,1,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,50,4,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,51,1,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,52,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,53,1,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,54,1,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,55,4,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,56,3,3,3,1,1
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,57,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,58,3,3,3,3,3
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,59,2,2,2,2,2
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,60,2,2,2,2,2
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,61,3,3,3,3,3
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,62,2,2,2,2,2
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,63,4,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,64,2,2,2,2,2
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,65,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,66,1,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,67,4,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,68,3,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,69,1,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,70,3,3,3,3,3
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,71,2,2,2,2,2
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,72,1,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,73,4,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,74,2,2,2,2,2
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,75,4,2,2,2,2
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,76,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,77,1,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,78,3,3,3,3,3
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,79,4,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,80,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,81,3,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,82,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,83,3,3,3,3,3
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,84,4,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,85,4,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,86,1,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,87,3,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,88,3,3,3,3,3
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,89,1,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,90,1,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,91,2,2,2,2,2
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,92,3,3,3,3,3
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,93,1,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,94,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,95,1,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,96,2,2,2,2,2
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,97,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,98,1,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Cognitive Load Theory,99,1,2,2,2,2
CommonsenseQA,gemma-3-12b-it,Dual-Process Theory,0,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Dual-Process Theory,1,1,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Dual-Process Theory,2,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Dual-Process Theory,3,2,1,1,1,1
CommonsenseQA,gemma-3-12b-it,Dual-Process Theory,4,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Dual-Process Theory,5,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Dual-Process Theory,6,2,2,2,2,2
CommonsenseQA,gemma-3-12b-it,Dual-Process Theory,7,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Dual-Process Theory,8,2,2,2,2,2
CommonsenseQA,gemma-3-12b-it,Dual-Process Theory,9,2,2,2,2,2
CommonsenseQA,gemma-3-12b-it,Dual-Process Theory,10,3,3,3,3,3
CommonsenseQA,gemma-3-12b-it,Dual-Process Theory,11,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Dual-Process Theory,12,4,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Dual-Process Theory,13,4,4,4,4,4
CommonsenseQA,gemma-3-12b-it,Dual-Process Theory,14,0,0,0,0,0
CommonsenseQA,gemma-3-12b-it,Dual-Process Theory,15,4,4,4,4,4
